lat,lon
33.7986488,-118.3111649
33.7986488,-118.3111649
33.7560883,-84.3972015
33.7560883,-84.3972015
33.75750679,-84.39599398
28.330864,-82.6790695
33.75750679,-84.39599398
37.404727,-122.107966
33.7560883,-84.3972015
33.75750679,-84.39599398
47.1849,-122.292
36.7483619,-119.78477515
33.7575569,-84.39624954
37.750278,-122.203056
33.7560883,-84.3972015
36.8362997,-76.3200377
41.53992521,-72.64649049
37.7657394,-122.4314804
33.9597309,-118.3461822
37.8044,-122.271
33.75750679,-84.39599398
34.04333238,-118.26714999
40.60696,-74.27332
33.8016434,-116.4531403
33.75750679,-84.39599398
36.96835849,-122.02317519
37.7125143,-122.2132774
40.69146388,-73.93377779
29.74005759,-95.46357311
28.3756625,-81.5494125
37.8024416,-122.27425367
27.77087962,-82.64060532
34.04333238,-118.26714999
37.595734,-122.385387
40.60696,-74.27332
34.04333238,-118.26714999
34.04333238,-118.26714999
37.67271187,-122.47016516
34.04333238,-118.26714999
34.04333238,-118.26714999
34.04333238,-118.26714999
34.04333238,-118.26714999
34.04333238,-118.26714999
34.04333238,-118.26714999
34.04333238,-118.26714999
34.04333238,-118.26714999
34.04337837,-118.26729239
29.96952,-90.09399
34.04333238,-118.26714999
34.04333238,-118.26714999
34.0431213,-118.2671127
34.04333238,-118.26714999
34.045474,-118.265777
46.5640545,-72.75230539
34.0431213,-118.2671127
34.04333238,-118.26714999
34.0431213,-118.2671127
37.46651832,-122.44608918
37.67271187,-122.47016516
34.04333238,-118.26714999
34.04333238,-118.26714999
34.0431213,-118.2671127
34.0431213,-118.2671127
34.04333238,-118.26714999
34.04327546,-118.26724791
34.04333238,-118.26714999
34.04333238,-118.26714999
34.04333238,-118.26714999
42.9956573,-78.7222687
33.7986488,-118.3111649
37.7657394,-122.4314804
37.775,-122.418
45.53163545,-122.66681671
45.5317,-122.66777
45.5317,-122.66777
45.5317,-122.66777
33.88118307,-117.3404847
29.9790724,-90.0541152
45.52,-122.682
37.775,-122.418
47.6169701,-122.2012329
35.66352303,-88.81386833
34.06621709,-118.4129506
45.5317001,-122.6677704
37.34705,-121.93238
45.5317,-122.66777
45.5317,-122.66777
45.5317,-122.66777
36.96861111,-122.02361111
45.5317001,-122.6677704
37.96829358,-122.05584857
37.96829358,-122.05584857
45.5188713,-122.6792908
33.49727788,-82.23567722
33.49727788,-82.23567722
33.49727788,-82.23567722
37.7657394,-122.4314804
34.23877,-118.535309
45.52623,-122.63635
37.96829357,-122.05584857
40.3220711,-74.2426224
37.96829357,-122.05584857
37.96829357,-122.05584857
37.96829357,-122.05584857
37.96829357,-122.05584857
37.96829357,-122.05584857
37.96829357,-122.05584857
36.8362997,-76.3200377
37.75054401,-122.2027862
37.656,-122.426
35.1445099,-90.05147
33.9758155,-118.4142154
26.06700221,-80.2228865
35.10002941,-92.44029699
27.76825322,-82.77121598
37.96829357,-122.05584857
42.9959959,-78.7228079
37.96829357,-122.05584857
37.96829358,-122.05584857
36.8362997,-76.3200377
43.04165575,-83.61710404
33.7986488,-118.3111649
33.35592449,-111.78987966
37.96878648,-122.05576679
37.96829357,-122.05584857
37.96829358,-122.05584857
37.96829357,-122.05584857
37.96829358,-122.05584857
37.96829358,-122.05584857
37.96829358,-122.05584857
37.96829358,-122.05584857
38.8893,-77.05011111
28.330864,-82.6790695
37.96829357,-122.05584857
37.96829358,-122.05584857
37.96829358,-122.05584857
37.96829358,-122.05584857
37.96829358,-122.05584857
33.7986488,-118.3111649
37.8072445,-122.47456807
39.31586123,-119.64163049
